:::MLLOG {"namespace": "", "time_ms": 1719784935453, "event_type": "INTERVAL_END", "key": "image_generation", "value": {"duration": 15.684119939804077, "gpu_utilization": 84, "gpu_memory_utilization": 16.185828663912012, "gpu_memory_used": 13201, "gpu_memory_free": 80120, "gpu_temperature": 56.0, "gpu_power_draw": 333.52, "ondemand_cost": 0.4283507423559824, "reserved_one_year_cost": 0.0, "reserved_three_year_cost": 0.1880221011783679, "spot_cost": 0.1475178614338239, "image_size": [1024, 1024], "instance_type": "p5.48xlarge"}, "metadata": {"file": "/home/ubuntu/benchmarking-sd/benchmark.py", "lineno": 105}}
:::MLLOG {"namespace": "", "time_ms": 1719784953881, "event_type": "INTERVAL_END", "key": "image_generation", "value": {"duration": 15.632626295089722, "gpu_utilization": 84, "gpu_memory_utilization": 16.185828663912012, "gpu_memory_used": 13201, "gpu_memory_free": 80120, "gpu_temperature": 57.0, "gpu_power_draw": 335.05, "ondemand_cost": 0.42694439370367254, "reserved_one_year_cost": 0.0, "reserved_three_year_cost": 0.18740479250477418, "spot_cost": 0.14703353509770498, "image_size": [1024, 1024], "instance_type": "p5.48xlarge"}, "metadata": {"file": "/home/ubuntu/benchmarking-sd/benchmark.py", "lineno": 105}}
:::MLLOG {"namespace": "", "time_ms": 1719784972243, "event_type": "INTERVAL_END", "key": "image_generation", "value": {"duration": 15.680510997772217, "gpu_utilization": 84, "gpu_memory_utilization": 16.185828663912012, "gpu_memory_used": 13201, "gpu_memory_free": 80120, "gpu_temperature": 57.0, "gpu_power_draw": 326.86, "ondemand_cost": 0.4282521781391567, "reserved_one_year_cost": 0.0, "reserved_three_year_cost": 0.1879788369807932, "spot_cost": 0.14748391732904645, "image_size": [1024, 1024], "instance_type": "p5.48xlarge"}, "metadata": {"file": "/home/ubuntu/benchmarking-sd/benchmark.py", "lineno": 105}}
:::MLLOG {"namespace": "", "time_ms": 1719784990712, "event_type": "INTERVAL_END", "key": "image_generation", "value": {"duration": 15.67198634147644, "gpu_utilization": 84, "gpu_memory_utilization": 16.185828663912012, "gpu_memory_used": 13201, "gpu_memory_free": 80120, "gpu_temperature": 57.0, "gpu_power_draw": 328.91, "ondemand_cost": 0.42801936030387877, "reserved_one_year_cost": 0.0, "reserved_three_year_cost": 0.1878766429275274, "spot_cost": 0.14740373820066452, "image_size": [1024, 1024], "instance_type": "p5.48xlarge"}, "metadata": {"file": "/home/ubuntu/benchmarking-sd/benchmark.py", "lineno": 105}}
:::MLLOG {"namespace": "", "time_ms": 1719785009082, "event_type": "INTERVAL_END", "key": "image_generation", "value": {"duration": 15.63556432723999, "gpu_utilization": 84, "gpu_memory_utilization": 16.185828663912012, "gpu_memory_used": 13201, "gpu_memory_free": 80120, "gpu_temperature": 56.0, "gpu_power_draw": 333.17, "ondemand_cost": 0.4270246346261766, "reserved_one_year_cost": 0.0, "reserved_three_year_cost": 0.18744001379741562, "spot_cost": 0.14706116892231835, "image_size": [1024, 1024], "instance_type": "p5.48xlarge"}, "metadata": {"file": "/home/ubuntu/benchmarking-sd/benchmark.py", "lineno": 105}}
:::MLLOG {"namespace": "", "time_ms": 1719785027515, "event_type": "INTERVAL_END", "key": "image_generation", "value": {"duration": 15.669643640518188, "gpu_utilization": 84, "gpu_memory_utilization": 16.185828663912012, "gpu_memory_used": 13201, "gpu_memory_free": 80120, "gpu_temperature": 57.0, "gpu_power_draw": 330.12, "ondemand_cost": 0.4279553785377078, "reserved_one_year_cost": 0.0, "reserved_three_year_cost": 0.18784855849828982, "spot_cost": 0.1473817037966516, "image_size": [1024, 1024], "instance_type": "p5.48xlarge"}, "metadata": {"file": "/home/ubuntu/benchmarking-sd/benchmark.py", "lineno": 105}}
:::MLLOG {"namespace": "", "time_ms": 1719785045957, "event_type": "INTERVAL_END", "key": "image_generation", "value": {"duration": 15.670993566513062, "gpu_utilization": 84, "gpu_memory_utilization": 16.185828663912012, "gpu_memory_used": 13201, "gpu_memory_free": 80120, "gpu_temperature": 57.0, "gpu_power_draw": 326.01, "ondemand_cost": 0.4279922465165456, "reserved_one_year_cost": 0.0, "reserved_three_year_cost": 0.18786474148611226, "spot_cost": 0.1473944006005923, "image_size": [1024, 1024], "instance_type": "p5.48xlarge"}, "metadata": {"file": "/home/ubuntu/benchmarking-sd/benchmark.py", "lineno": 105}}
:::MLLOG {"namespace": "", "time_ms": 1719785064391, "event_type": "INTERVAL_END", "key": "image_generation", "value": {"duration": 15.629282712936401, "gpu_utilization": 84, "gpu_memory_utilization": 16.185828663912012, "gpu_memory_used": 13201, "gpu_memory_free": 80120, "gpu_temperature": 56.0, "gpu_power_draw": 333.09, "ondemand_cost": 0.42685307675997414, "reserved_one_year_cost": 0.0, "reserved_three_year_cost": 0.1873647094561656, "spot_cost": 0.14700208685000737, "image_size": [1024, 1024], "instance_type": "p5.48xlarge"}, "metadata": {"file": "/home/ubuntu/benchmarking-sd/benchmark.py", "lineno": 105}}
:::MLLOG {"namespace": "", "time_ms": 1719785082837, "event_type": "INTERVAL_END", "key": "image_generation", "value": {"duration": 15.677108526229858, "gpu_utilization": 84, "gpu_memory_utilization": 16.185828663912012, "gpu_memory_used": 13201, "gpu_memory_free": 80120, "gpu_temperature": 56.0, "gpu_power_draw": 332.05, "ondemand_cost": 0.42815925286081097, "reserved_one_year_cost": 0.0, "reserved_three_year_cost": 0.1879380479629172, "spot_cost": 0.14745191519392858, "image_size": [1024, 1024], "instance_type": "p5.48xlarge"}, "metadata": {"file": "/home/ubuntu/benchmarking-sd/benchmark.py", "lineno": 105}}
:::MLLOG {"namespace": "", "time_ms": 1719785101245, "event_type": "INTERVAL_END", "key": "image_generation", "value": {"duration": 15.678965330123901, "gpu_utilization": 84, "gpu_memory_utilization": 16.185828663912012, "gpu_memory_used": 13201, "gpu_memory_free": 80120, "gpu_temperature": 56.0, "gpu_power_draw": 331.2, "ondemand_cost": 0.42820996423827273, "reserved_one_year_cost": 0.0, "reserved_three_year_cost": 0.18796030743115474, "spot_cost": 0.1474693794661098, "image_size": [1024, 1024], "instance_type": "p5.48xlarge"}, "metadata": {"file": "/home/ubuntu/benchmarking-sd/benchmark.py", "lineno": 105}}
:::MLLOG {"namespace": "", "time_ms": 1719785119731, "event_type": "INTERVAL_END", "key": "image_generation", "value": {"duration": 15.631394624710083, "gpu_utilization": 84, "gpu_memory_utilization": 16.185828663912012, "gpu_memory_used": 13201, "gpu_memory_free": 80120, "gpu_temperature": 55.0, "gpu_power_draw": 332.96, "ondemand_cost": 0.426910755417082, "reserved_one_year_cost": 0.0, "reserved_three_year_cost": 0.18739002717183695, "spot_cost": 0.14702195055352318, "image_size": [1024, 1024], "instance_type": "p5.48xlarge"}, "metadata": {"file": "/home/ubuntu/benchmarking-sd/benchmark.py", "lineno": 105}}
:::MLLOG {"namespace": "", "time_ms": 1719785138078, "event_type": "INTERVAL_END", "key": "image_generation", "value": {"duration": 15.614194869995117, "gpu_utilization": 84, "gpu_memory_utilization": 16.185828663912012, "gpu_memory_used": 13201, "gpu_memory_free": 80140, "gpu_temperature": 56.0, "gpu_power_draw": 328.2, "ondemand_cost": 0.42644101100497767, "reserved_one_year_cost": 0.0, "reserved_three_year_cost": 0.18718383555677198, "spot_cost": 0.1468601773050096, "image_size": [1024, 1024], "instance_type": "p5.48xlarge"}, "metadata": {"file": "/home/ubuntu/benchmarking-sd/benchmark.py", "lineno": 105}}
