INFO:root:Metrics for image 14: {'duration': 19.570556163787842, 'gpu_utilization': 79, 'gpu_memory_utilization': 31.80419921875, 'gpu_memory_used': 13027, 'gpu_memory_free': 39671, 'gpu_temperature': 53.0, 'gpu_power_draw': 321.44, 'ondemand_cost': 0.17816273254328308, 'reserved_one_year_cost': 0.10967665850122771, 'reserved_three_year_cost': 0.06794788374755119, 'spot_cost': 0.033688537929720354, 'image_size': (1024, 1024), 'instance_type': 'p4d.24xlarge'}
INFO:root:Metrics for image 15: {'duration': 19.532930374145508, 'gpu_utilization': 79, 'gpu_memory_utilization': 31.80419921875, 'gpu_memory_used': 13027, 'gpu_memory_free': 39671, 'gpu_temperature': 53.0, 'gpu_power_draw': 322.45, 'ondemand_cost': 0.17782020198663076, 'reserved_one_year_cost': 0.10946579730510711, 'reserved_three_year_cost': 0.06781724909623464, 'spot_cost': 0.03362376931349436, 'image_size': (1024, 1024), 'instance_type': 'p4d.24xlarge'}
INFO:root:Metrics for image 16: {'duration': 19.535680532455444, 'gpu_utilization': 81, 'gpu_memory_utilization': 31.80419921875, 'gpu_memory_used': 13027, 'gpu_memory_free': 39671, 'gpu_temperature': 54.0, 'gpu_power_draw': 323.45, 'ondemand_cost': 0.17784523835837843, 'reserved_one_year_cost': 0.10948120965063572, 'reserved_three_year_cost': 0.06782679749310017, 'spot_cost': 0.03362850340545177, 'image_size': (1024, 1024), 'instance_type': 'p4d.24xlarge'}
INFO:root:Metrics for image 17: {'duration': 19.560400009155273, 'gpu_utilization': 82, 'gpu_memory_utilization': 31.80419921875, 'gpu_memory_used': 13027, 'gpu_memory_free': 39691, 'gpu_temperature': 53.0, 'gpu_power_draw': 318.76, 'ondemand_cost': 0.17807027486112387, 'reserved_one_year_cost': 0.10961974171797435, 'reserved_three_year_cost': 0.06791262214289771, 'spot_cost': 0.03367105523798201, 'image_size': (1024, 1024), 'instance_type': 'p4d.24xlarge'}
INFO:root:Metrics for image 18: {'duration': 19.533463954925537, 'gpu_utilization': 78, 'gpu_memory_utilization': 31.80419921875, 'gpu_memory_used': 13027, 'gpu_memory_free': 39691, 'gpu_temperature': 53.0, 'gpu_power_draw': 318.98, 'ondemand_cost': 0.17782505949854852, 'reserved_one_year_cost': 0.10946878758072853, 'reserved_three_year_cost': 0.06781910165905952, 'spot_cost': 0.03362468781352043, 'image_size': (1024, 1024), 'instance_type': 'p4d.24xlarge'}
INFO:root:Metrics for image 19: {'duration': 20.566450595855713, 'gpu_utilization': 100, 'gpu_memory_utilization': 31.80419921875, 'gpu_memory_used': 13027, 'gpu_memory_free': 39705, 'gpu_temperature': 54.0, 'gpu_power_draw': 327.26, 'ondemand_cost': 0.18722896816054982, 'reserved_one_year_cost': 0.1152578168809414, 'reserved_three_year_cost': 0.07140557388822238, 'spot_cost': 0.03540285953958829, 'image_size': (1024, 1024), 'instance_type': 'p4d.24xlarge'}
INFO:root:Metrics for image 20: {'duration': 19.55293297767639, 'gpu_utilization': 81, 'gpu_memory_utilization': 31.80419921875, 'gpu_memory_used': 13027, 'gpu_memory_free': 39691, 'gpu_temperature': 53.0, 'gpu_power_draw': 322.3, 'ondemand_cost': 0.1780022979103857, 'reserved_one_year_cost': 0.10957789522906144, 'reserved_three_year_cost': 0.06788669702443811, 'spot_cost': 0.033658201572961274, 'image_size': (1024, 1024), 'instance_type': 'p4d.24xlarge'}
INFO:root:Metrics for image 21: {'duration': 20.568923473358154, 'gpu_utilization': 100, 'gpu_memory_utilization': 31.80419921875, 'gpu_memory_used': 13027, 'gpu_memory_free': 39705, 'gpu_temperature': 54.0, 'gpu_power_draw': 319.96, 'ondemand_cost': 0.18725148027565747, 'reserved_one_year_cost': 0.11527167529861133, 'reserved_three_year_cost': 0.07141415958152877, 'spot_cost': 0.03540711632344458, 'image_size': (1024, 1024), 'instance_type': 'p4d.24xlarge'}
INFO:root:Metrics for image 22: {'duration': 19.560168266296387, 'gpu_utilization': 82, 'gpu_memory_utilization': 31.80419921875, 'gpu_memory_used': 13027, 'gpu_memory_free': 39671, 'gpu_temperature': 54.0, 'gpu_power_draw': 328.8, 'ondemand_cost': 0.17806816516425877, 'reserved_one_year_cost': 0.10961844299236934, 'reserved_three_year_cost': 0.06791181754456627, 'spot_cost': 0.03367065631839964, 'image_size': (1024, 1024), 'instance_type': 'p4d.24xlarge'}
INFO:root:Metrics for image 23: {'duration': 20.572001934051514, 'gpu_utilization': 100, 'gpu_memory_utilization': 31.80419921875, 'gpu_memory_used': 13027, 'gpu_memory_free': 39705, 'gpu_temperature': 54.0, 'gpu_power_draw': 326.84, 'ondemand_cost': 0.18727950538463065, 'reserved_one_year_cost': 0.1152889275054137, 'reserved_three_year_cost': 0.07142484782603052, 'spot_cost': 0.035412415551477006, 'image_size': (1024, 1024), 'instance_type': 'p4d.24xlarge'}
